img_path,label
train_puzzles_only/0.png,1
train_puzzles_only/1.png,2
train_puzzles_only/2.png,1
train_puzzles_only/3.png,2
train_puzzles_only/4.png,5
train_puzzles_only/5.png,0
train_puzzles_only/6.png,0
train_puzzles_only/7.png,4
train_puzzles_only/8.png,3
train_puzzles_only/9.png,1
train_puzzles_only/10.png,4
train_puzzles_only/11.png,1
train_puzzles_only/12.png,2
train_puzzles_only/13.png,3
train_puzzles_only/14.png,5
train_puzzles_only/15.png,2
train_puzzles_only/16.png,0
train_puzzles_only/17.png,2
train_puzzles_only/18.png,5
train_puzzles_only/19.png,0
train_puzzles_only/20.png,4
train_puzzles_only/21.png,2
train_puzzles_only/22.png,5
train_puzzles_only/23.png,4
train_puzzles_only/24.png,2
train_puzzles_only/25.png,1
train_puzzles_only/26.png,5
train_puzzles_only/27.png,3
train_puzzles_only/28.png,2
train_puzzles_only/29.png,3
train_puzzles_only/30.png,5
train_puzzles_only/31.png,2
train_puzzles_only/32.png,3
train_puzzles_only/33.png,3
train_puzzles_only/34.png,2
train_puzzles_only/35.png,0
train_puzzles_only/36.png,0
train_puzzles_only/37.png,0
train_puzzles_only/38.png,1
train_puzzles_only/39.png,0
train_puzzles_only/40.png,3
train_puzzles_only/41.png,0
train_puzzles_only/42.png,0
train_puzzles_only/43.png,0
train_puzzles_only/44.png,4
train_puzzles_only/45.png,1
train_puzzles_only/46.png,0
train_puzzles_only/47.png,1
train_puzzles_only/48.png,2
train_puzzles_only/49.png,4
train_puzzles_only/50.png,5
train_puzzles_only/51.png,1
train_puzzles_only/52.png,4
train_puzzles_only/53.png,4
train_puzzles_only/54.png,3
train_puzzles_only/55.png,5
train_puzzles_only/56.png,5
train_puzzles_only/57.png,5
train_puzzles_only/58.png,0
train_puzzles_only/59.png,0
train_puzzles_only/60.png,4
train_puzzles_only/61.png,3
train_puzzles_only/62.png,5
train_puzzles_only/63.png,1
train_puzzles_only/64.png,4
train_puzzles_only/65.png,3
train_puzzles_only/66.png,2
train_puzzles_only/67.png,4
train_puzzles_only/68.png,1
train_puzzles_only/69.png,5
train_puzzles_only/70.png,0
train_puzzles_only/71.png,3
train_puzzles_only/72.png,3
train_puzzles_only/73.png,4
train_puzzles_only/74.png,4
train_puzzles_only/75.png,4
train_puzzles_only/76.png,4
train_puzzles_only/77.png,1
train_puzzles_only/78.png,3
train_puzzles_only/79.png,2
train_puzzles_only/80.png,4
train_puzzles_only/81.png,1
train_puzzles_only/82.png,3
train_puzzles_only/83.png,3
train_puzzles_only/84.png,4
train_puzzles_only/85.png,0
train_puzzles_only/86.png,0
train_puzzles_only/87.png,0
train_puzzles_only/88.png,5
train_puzzles_only/89.png,2
train_puzzles_only/90.png,1
train_puzzles_only/91.png,2
train_puzzles_only/92.png,0
train_puzzles_only/93.png,3
train_puzzles_only/94.png,1
train_puzzles_only/95.png,1
train_puzzles_only/96.png,0
train_puzzles_only/97.png,3
train_puzzles_only/98.png,3
train_puzzles_only/99.png,5
train_puzzles_only/100.png,1
train_puzzles_only/101.png,2
train_puzzles_only/102.png,0
train_puzzles_only/103.png,0
train_puzzles_only/104.png,4
train_puzzles_only/105.png,3
train_puzzles_only/106.png,3
train_puzzles_only/107.png,1
train_puzzles_only/108.png,1
train_puzzles_only/109.png,0
train_puzzles_only/110.png,0
train_puzzles_only/111.png,1
train_puzzles_only/112.png,5
train_puzzles_only/113.png,0
train_puzzles_only/114.png,0
train_puzzles_only/115.png,5
train_puzzles_only/116.png,4
train_puzzles_only/117.png,1
train_puzzles_only/118.png,5
train_puzzles_only/119.png,4
train_puzzles_only/120.png,4
train_puzzles_only/121.png,0
train_puzzles_only/122.png,4
train_puzzles_only/123.png,0
train_puzzles_only/124.png,1
train_puzzles_only/125.png,4
train_puzzles_only/126.png,4
train_puzzles_only/127.png,2
train_puzzles_only/128.png,4
train_puzzles_only/129.png,4
train_puzzles_only/130.png,3
train_puzzles_only/131.png,4
train_puzzles_only/132.png,2
train_puzzles_only/133.png,5
train_puzzles_only/134.png,4
train_puzzles_only/135.png,1
train_puzzles_only/136.png,4
train_puzzles_only/137.png,0
train_puzzles_only/138.png,0
train_puzzles_only/139.png,2
train_puzzles_only/140.png,1
train_puzzles_only/141.png,2
train_puzzles_only/142.png,0
train_puzzles_only/143.png,2
train_puzzles_only/144.png,3
train_puzzles_only/145.png,2
train_puzzles_only/146.png,4
train_puzzles_only/147.png,0
train_puzzles_only/148.png,4
train_puzzles_only/149.png,3
train_puzzles_only/150.png,3
train_puzzles_only/151.png,1
train_puzzles_only/152.png,0
train_puzzles_only/153.png,4
train_puzzles_only/154.png,2
train_puzzles_only/155.png,4
train_puzzles_only/156.png,2
train_puzzles_only/157.png,5
train_puzzles_only/158.png,2
train_puzzles_only/159.png,3
train_puzzles_only/160.png,4
train_puzzles_only/161.png,3
train_puzzles_only/162.png,2
train_puzzles_only/163.png,3
train_puzzles_only/164.png,2
train_puzzles_only/165.png,2
train_puzzles_only/166.png,4
train_puzzles_only/167.png,4
train_puzzles_only/168.png,0
train_puzzles_only/169.png,4
train_puzzles_only/170.png,1
train_puzzles_only/171.png,1
train_puzzles_only/172.png,5
train_puzzles_only/173.png,4
train_puzzles_only/174.png,3
train_puzzles_only/175.png,2
train_puzzles_only/176.png,2
train_puzzles_only/177.png,4
train_puzzles_only/178.png,1
